Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
50,48,2016-02-03,20-349,DEN,@,UTA,L (-4),1,29:01,.405,.389,12.7,12.4,12.6,31.5,3.8,0.0,0.0,16.6,110,97,8.3,4.9
51,49,2016-02-05,20-351,DEN,,CHI,W (+5),1,25:42,.538,.500,17.8,32.5,25.5,20.2,0.0,4.6,6.3,25.5,124,105,13.9,4.1
52,50,2016-02-07,20-353,DEN,@,NYK,W (+5),1,18:34,.604,.500,16.5,16.5,16.5,0.0,2.8,0.0,8.5,28.9,123,102,10.1,4.3
53,51,2016-02-08,20-354,DEN,@,BRK,L (-1),1,13:57,.200,.200,8.0,18.1,12.7,0.0,3.7,0.0,16.7,19.2,48,109,-0.6,-18.3
54,52,2016-02-10,20-356,DEN,@,DET,W (+11),1,24:55,.336,.286,0.0,25.1,13.0,11.0,2.0,0.0,11.8,15.4,72,95,4.1,-5.9
55,53,2016-02-19,21-000,DEN,@,SAC,L (-6),1,3:40,,,0.0,31.2,14.7,0.0,0.0,0.0,100.0,11.0,0,108,-2.3,-36.4
56,54,2016-02-21,21-002,DEN,,BOS,L (-20),1,30:12,.724,.700,12.2,35.3,24.6,35.1,3.1,0.0,20.1,28.2,120,108,20.8,9.7
57,55,2016-02-23,21-004,DEN,,SAC,L (-4),1,20:11,.666,.563,17.0,56.3,32.9,45.3,4.5,0.0,17.0,23.0,134,99,16.7,16.7
58,56,2016-02-24,21-005,DEN,@,LAC,W (+6),1,26:13,.389,.389,14.1,24.6,19.4,19.3,1.9,4.7,25.0,19.4,80,80,6.8,1.7
59,57,2016-02-26,21-007,DEN,@,DAL,L (-6),1,10:58,.512,.500,27.4,11.8,20.6,29.0,0.0,0.0,17.0,23.4,118,124,4.2,-0.1
60,58,2016-02-29,21-010,DEN,,MEM,L (-7),1,19:06,.868,.750,0.0,41.9,22.5,23.2,2.8,4.6,34.2,22.4,121,104,10.2,8.2
61,59,2016-03-02,21-012,DEN,,LAL,W (+10),1,28:23,.608,.438,5.3,20.6,13.9,15.4,0.0,7.0,8.0,20.0,132,113,11.9,0.4
62,60,2016-03-04,21-014,DEN,,BRK,L (-1),1,33:52,.490,.429,7.3,38.2,22.4,17.1,1.5,2.3,11.5,22.2,111,115,12.5,-2.9
63,61,2016-03-06,21-016,DEN,,DAL,W (+2),1,20:39,.492,.364,9.3,52.4,29.6,22.8,4.9,4.9,18.5,32.2,98,90,11.5,6.2
64,62,2016-03-08,21-018,DEN,,NYK,W (+16),1,33:52,.460,.450,8.9,21.3,14.5,13.2,1.5,2.5,4.4,28.5,100,96,15.5,2.5
65,63,2016-03-10,21-020,DEN,,PHO,W (+18),1,27:24,.882,.813,7.5,26.0,17.3,20.9,3.6,8.6,0.0,16.2,190,88,23.9,19.7
66,64,2016-03-12,21-022,DEN,,WAS,W (+16),1,16:31,,,0.0,30.9,17.9,20.8,0.0,0.0,100.0,5.1,63,98,0.0,-5.3
67,65,2016-03-14,21-024,DEN,@,MIA,L (-5),1,27:48,.551,.550,12.9,26.2,18.9,17.1,3.5,2.8,8.4,18.0,128,120,13.9,6.2
68,66,2016-03-15,21-025,DEN,@,ORL,L (-6),1,25:19,.751,.688,15.8,15.8,15.8,24.8,1.9,3.4,17.7,20.1,140,116,14.7,8.5
69,67,2016-03-17,21-027,DEN,@,ATL,L (-18),1,22:06,.571,.571,5.2,23.5,13.7,14.3,2.3,4.0,12.5,16.0,110,116,7.9,1.8
70,68,2016-03-19,21-029,DEN,@,CHO,W (+8),1,24:45,.344,.344,26.4,34.5,30.5,27.4,0.0,3.8,5.9,29.9,99,97,8.5,-0.7
71,69,2016-03-21,21-031,DEN,@,CLE,L (-33),1,22:36,.413,.333,4.7,19.3,10.9,27.1,6.7,0.0,13.1,30.1,86,121,8.1,-0.6
72,70,2016-03-23,21-033,DEN,,PHI,W (+1),1,27:00,.798,.833,4.0,26.5,15.6,36.9,1.8,0.0,8.1,19.9,158,104,20.1,14.4
73,71,2016-03-25,21-035,DEN,@,LAL,W (+11),1,21:42,.444,.444,9.0,52.7,29.2,24.5,0.0,0.0,10.0,19.5,106,105,8.3,-2.1
74,72,2016-03-27,21-037,DEN,@,LAC,L (-15),1,20:51,.317,.286,14.7,33.7,23.5,14.2,2.6,0.0,0.0,15.8,103,109,6.4,-1.0
75,73,2016-03-28,21-038,DEN,,DAL,L (-9),1,23:55,.143,.143,0.0,34.2,20.6,13.8,4.5,0.0,30.0,20.2,33,97,-0.5,-10.6
76,74,2016-03-30,21-040,DEN,@,MEM,W (+4),1,28:41,.750,.750,22.6,29.5,26.6,5.3,0.0,2.2,14.3,11.4,150,107,11.0,0.4
77,75,2016-03-31,21-041,DEN,@,NOP,L (-6),1,23:06,.643,.643,9.2,27.1,18.3,22.5,2.2,3.4,12.5,16.1,123,102,11.3,5.7
78,76,2016-04-02,21-043,DEN,,SAC,L (-9),1,32:14,.436,.333,11.5,29.1,19.8,20.1,1.6,4.4,0.0,9.1,137,113,13.2,2.3
79,77,2016-04-05,21-046,DEN,,OKC,L (-22),1,19:03,.700,.700,0.0,12.3,5.4,17.1,0.0,9.3,0.0,11.2,141,123,7.3,3.1
80,78,2016-04-08,21-049,DEN,,SAS,W (+4),1,32:13,.405,.333,9.9,38.0,24.3,16.8,1.5,2.1,0.0,14.0,112,97,12.3,2.7
81,79,2016-04-10,21-051,DEN,,UTA,L (-16),1,36:02,.816,.778,9.1,23.2,16.3,23.5,3.0,2.8,7.9,16.9,159,107,22.5,13.0
82,80,2016-04-13,21-054,DEN,@,POR,L (-8),1,34:56,.795,.750,15.9,20.9,18.2,22.6,0.0,0.0,15.0,15.0,151,113,20.4,7.9
