"","g","year","month","age","location","opp","minutes","seconds","result","fg","fga","fg_percent","three_pts","three_pa","three_pts_percent","ft","fta","ft_percent","orb","drb","trb","ast","stl","blk","tov","pf","pts","gm_sc","pm","ts_percent","efg_percent","orb_percent","drb_percent","trb_percent","ast_percent","stl_percent","blk_percent","tov_percent","usg_percent","ortg","drtg","bpm"
"265",37,2019,1,23,"Home","CHO",34,16,"W",16,29,0.552,3,9,0.333,4,5,0.8,8,4,12,6,3,1,2,1,39,37,8,0.625,0.603,21.6,13.7,18.1,34.2,4.3,2.6,6,39.5,136,109,21.2
"266",38,2019,1,23,"Away","HOU",28,8,"L",11,20,0.55,1,1,1,1,1,1,5,8,13,4,2,1,8,2,24,17,-22,0.587,0.575,19.4,37.9,27.7,27,3.4,5.9,28.1,41.7,94,117,3.5
"267",39,2019,1,23,"Away","MIA",39,37,"W",11,21,0.524,1,2,0.5,6,6,1,3,8,11,10,1,0,3,3,29,27,9,0.613,0.548,8.3,22,15.1,43.8,1.3,0,11.3,29.2,130,106,14
"268",40,2019,1,23,"Home","LAC",27,48,"W",8,19,0.421,0,5,0,2,3,0.667,5,9,14,10,0,2,1,3,18,19.9,6,0.443,0.421,19.2,33.8,26.6,47.7,0,5.5,4.7,32.4,123,99,11.1
"269",41,2019,1,23,"Away","PHO",33,48,"L",8,15,0.533,1,4,0.25,6,7,0.857,1,9,10,4,0,1,2,0,23,20.2,8,0.636,0.567,3,25.1,14.3,25.1,0,2.2,10,25.3,124,106,8.9
"270",42,2019,1,23,"Home","POR",36,43,"W",15,23,0.652,4,7,0.571,6,8,0.75,1,9,10,8,0,0,3,4,40,33.5,17,0.754,0.739,3.7,30.2,17.7,41.2,0,0,10.2,38.3,141,118,17.9
"271",43,2019,1,23,"Home","GSW",23,13,"L",6,12,0.5,0,1,0,5,5,1,1,3,4,8,0,0,3,3,17,14,-21,0.599,0.5,4.4,15.9,9.6,55.9,0,0,17.4,33.2,119,149,2.5
"272",44,2019,1,23,"Home","CHI",25,28,"W",6,18,0.333,0,3,0,6,6,1,4,4,8,11,1,1,2,3,18,18,26,0.436,0.333,18,15.7,16.8,53.6,2,2.9,8.8,38.2,124,108,6
"273",45,2019,1,23,"Home","CLE",27,39,"W",8,12,0.667,3,6,0.5,0,1,0,3,8,11,12,1,0,1,3,19,25.1,21,0.764,0.792,14.9,38.6,26.9,57.7,1.9,0,7.4,22.3,171,111,24.5
"274",46,2019,1,23,"Away","UTA",37,5,"L",10,21,0.476,1,7,0.143,7,7,1,3,18,21,6,2,1,3,5,28,26.7,-11,0.581,0.5,9.7,46.6,30.2,26.7,2.7,3.1,11.1,31.6,123,103,10.4
"275",47,2019,1,23,"Home","PHI",33,44,"W",12,22,0.545,2,3,0.667,6,7,0.857,6,12,18,10,1,0,1,1,32,35.4,16,0.638,0.591,20.8,33.5,27.8,46,1.4,0,3.8,31.8,147,102,21.3
"276",48,2019,1,23,"Away","MEM",34,36,"W",10,20,0.5,1,8,0.125,3,3,1,1,4,5,3,4,0,4,3,24,16.8,5,0.563,0.525,3.3,15,8.8,18,5.9,0,15.8,33.4,101,91,7.6
"277",49,2019,1,23,"Away","NOP",37,7,"W",9,16,0.563,0,2,0,2,2,1,1,12,13,10,3,2,2,2,20,25.3,17,0.592,0.563,2.8,34.5,18.5,42.6,3.9,4.9,10.6,23,121,90,12.6
"278",50,2019,2,23,"Home","HOU",31,26,"W",12,15,0.8,1,2,0.5,6,6,1,4,9,13,9,1,0,2,4,31,34.5,14,0.879,0.833,21.1,37.1,30.1,42.1,1.7,0,10.2,30,176,131,18.1
"279",51,2019,2,23,"Away","MIN",29,16,"W",4,13,0.308,0,2,0,5,8,0.625,8,8,16,10,0,0,5,4,13,12.7,-1,0.393,0.308,27.3,32,29.5,46.3,0,0,23.2,33.6,102,116,-1.9
"280",52,2019,2,23,"Away","DET",25,44,"L",7,17,0.412,0,3,0,2,3,0.667,1,2,3,4,3,0,3,4,16,9,-16,0.437,0.412,4,9.8,6.6,26.7,5.6,0,14.1,34.7,85,122,-3.4
"281",53,2019,2,23,"Away","BRK",33,47,"L",8,13,0.615,1,3,0.333,8,10,0.8,2,12,14,10,1,1,2,3,25,28.8,5,0.718,0.654,6,41.6,22.6,36.8,1.3,2.5,10.3,22.7,149,122,12.8
