Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
12,12,2017-11-09,22-263,DEN,,OKC,W (+8),1,27:51,7,16,.438,1,5,.200,0,0,,3,8,11,3,1,0,3,4,15,9.6,+5
13,13,2017-11-11,22-265,DEN,,ORL,W (+18),1,37:36,3,8,.375,1,1,1.000,5,6,.833,5,12,17,9,4,1,1,2,12,23.5,+25
14,14,2017-11-13,22-267,DEN,@,POR,L (-17),1,34:56,2,9,.222,1,4,.250,1,2,.500,0,7,7,3,3,1,3,2,6,4.2,0
15,15,2017-11-17,22-271,DEN,,NOP,W (+32),1,26:31,3,5,.600,1,2,.500,6,6,1.000,3,8,11,6,0,1,2,3,13,16.9,+23
16,16,2017-11-19,22-273,DEN,@,LAL,L (-18),1,11:35,1,5,.200,0,0,,4,4,1.000,4,2,6,1,1,0,2,2,6,5.2,-16
17,17,2017-11-20,22-274,DEN,@,SAC,W (+16),1,34:57,7,12,.583,2,6,.333,0,0,,4,10,14,3,1,1,2,0,16,18.0,+24
18,18,2017-11-22,22-276,DEN,@,HOU,L (-30),1,25:42,7,14,.500,1,2,.500,2,3,.667,2,4,6,3,2,1,2,2,17,14.2,-12
19,19,2017-11-24,22-278,DEN,,MEM,W (+12),1,35:55,11,17,.647,2,5,.400,4,6,.667,5,8,13,8,2,0,5,4,28,26.6,+17
20,20,2017-11-28,22-282,DEN,@,UTA,L (-29),1,26:16,3,7,.429,1,3,.333,0,0,,0,6,6,6,1,1,2,1,7,8.6,-20
21,21,2017-11-30,22-284,DEN,,CHI,W (+1),1,15:55,3,6,.500,0,0,,2,2,1.000,2,2,4,4,0,0,0,1,8,9.4,-6
22,,2017-12-02,22-286,DEN,,LAL,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
